ID,Name,lon,lat
TTS,Nasa Shuttle Fcl,-80.72,28.62
NHC,Natl Hurr Center,-80.27,25.73
RRF,New Port Richey,-82.63,28.18
EVB,New Smyrna Beach,-80.95,29.05
F45,West Plam Beach/,-80.21666666666667,26.85
OCF,Ocala Muni,-82.22,29.17
OCR,Ocean Reef,-80.27,25.3
OBE,Okeechobee Cty,-80.84,27.27
MCO,Orlando,-81.33,28.42
ORL,Orlando,-81.33,28.55
OMN,Ormond Beach Vor,-81.12,29.3
28J,Palatka,-81.68,29.67
XFL,Palm Coast,-81.2,29.47
PFN,Panama City,-85.68,30.2
ECP,Panama City,-85.8,30.35
COF,Patrick Afb/Coco,-80.59,28.23
PNS,Pensacola,-87.18,30.48
NPA,Pensacola Nas,-87.32,30.35
40J,Perry Foley,-83.57,30.07
54A,Placida,-82.25,26.85
PCM,Plant City Muni,-82.17,28.0
PMP,Pompano Beach,-80.12,26.25
X41,Port Richey,-82.62,28.35
PGD,Punta Gorda,-82.0,26.92
2J9,Quincy,-84.55,30.6
SFB,Sanford/Orlando,-81.22,28.77
SRQ,Sarasota/Bradent,-82.57,27.4
X26,Sebastian,-80.5,27.82
SEF,Sebring,-81.35,27.45
SGJ,St Augustine,-81.31,29.97
PIE,St Petersburg,-82.68,27.92
SPG,St Peters/Albert,-82.63,27.77
SUA,Stuart/Witham,-80.22,27.18
TLH,Tallahassee,-84.35,30.4
TAE,Tallahassee/Wfo,-84.33,30.4
TPA,Tampa,-82.53,27.97
TPF,Tampa/O Knight,-82.45,27.92
TBW,Tampa Bay/Ruskin,-82.4,27.7
VDF,Tampa/Vandenburg,-82.33,28.02
TIX,Titusville,-80.8,28.5
PAM,Tyndall Afb,-85.57,30.07
TDR,Tyndall Drone,-85.52,30.05
VNC,Venice,-82.43,27.07
VRB,Vero Beach,-80.42,27.65
TRV,Vero Beach,-80.42,27.65
VVG,The Villages,-81.97,28.95
PBI,West Palm Beach,-80.09,26.68
NSE,Whiting Fld Nas,-87.02,30.73
X60,Williston,-82.47,29.35
GIF,Winter Haven,-81.75,28.07
ZPH,Zephyrhills,-82.15,28.23
AQQ,Apalachicola,-85.03,29.73
90J,Astor,-81.56,29.12
AGR,Avon Park,-81.33,27.65
X40,Inverness,-82.32,28.8
ABY,Albany,-84.2,31.53
ACJ,Americus,-84.18,32.11
PZD,Pecan (Albany),-84.3,31.65
AMG,Alma,-82.5,31.53
AHN,Athens,-83.33,33.95
ATL,Atlanta,-84.45,33.63
FTY,Atlanta/Fulton,-84.52,33.78
