,WBAN #,STATION ID,STATION NAME,"LAT N/ LONG W (deg,min,sec)",ELEV (ft),TOWER HEIGHT (m),lat,lon,lat_deg,lon_deg
69,93819,KIND,"Indianapolis, IN",394227 / 0861649,790,20,394227,0861649,39.7075,-86.28027777777778
70,3889,KJKL,"Jackson, KY",373527 / 0831847,1364,25,373527,0831847,37.590833333333336,-83.31305555555555
71,3940,KJAN,"Jackson, MS",321904 / 0900448,297,20,321904,0900448,32.31777777777778,-90.08
72,13889,KJAX,"Jacksonville, FL",302905 / 0814207,33,20,302905,0814207,30.484722222222224,-81.70194444444445
73,42219,RODN,"Kadena, Okinawa",261807 / 1275435E,218,30,261807, 1275435,26.301944444444445,-127.90972222222223
74,PENDING,PHKN,"Kamuela, HI",200732 / 1554640,3812,30,200732,1554640,20.125555555555557,-155.7777777777778
75,3983,KEAX,"Kansas City, MO",384837 / 0941552,995,20,384837,0941552,38.81027777777778,-94.26444444444445
76,92804,KBYX,"Key West, FL",243551 / 0814211,8,20,243551,0814211,24.5975,-81.70305555555557
77,PENDING,PAKC,"King Salmon, AK",584046 / 1563746,63,20,584046,1563746,58.67944444444444,-156.62944444444446
78,53832,KMRX,"Knoxville/Tri-Cities, TN",361007 / 0832406,1337,20,361007,0832406,36.16861111111111,-83.40166666666667
79,PENDING,RKJK,"Kunsan AB, Korea",355527 / 1263720E,78,30,355527, 1263720,35.924166666666665,-126.62222222222222
80,94987,KARX,"La Crosse, WI",434922 / 0911128,1276,20,434922,0911128,43.82277777777778,-91.19111111111111
81,PENDING,LPLA,"Lajes AB, Azores",384349 / 0271918,3334,20,384349,0271918,38.73027777777778,-27.321666666666665
82,3937,KLCH,"Lake Charles, LA",300731 / 0931257,13,20,300731,0931257,30.12527777777778,-93.21583333333334
83,53110,KESX,"Las Vegas, NV",354204 / 1145329,4867,20,354204,1145329,35.70111111111111,-114.8913888888889
84,22015,KDFX,"Laughlin AFB, TX",291622 / 1001650,1131,10,291622,1001650,29.272777777777776,-100.28055555555555
85,4833,KILX,"Lincoln, IL",400902 / 0892013,582,30,400902,0892013,40.150555555555556,-89.33694444444444
86,3952,KLZK,"Little Rock, AR",345011 / 0921544,568,20,345011,0921544,34.83638888888889,-92.26222222222222
87,53101,KVTX,"Los Angeles, CA",342442 / 1191046,2726,20,342442,1191046,34.41166666666666,-119.17944444444444
88,53827,KLVX,"Louisville, KY",375831 / 0855638,719,30,375831,0855638,37.97527777777778,-85.94388888888889
89,23042,KLBB,"Lubbock, TX",333915 / 1014851,3259,20,333915,1014851,33.65416666666667,-101.81416666666667
90,94850,KMQT,"Marquette, MI",463152 / 0873254,1411,30,463152,0873254,46.53111111111111,-87.54833333333333
91,53826,KMXX,"Maxwell AFB, AL",323212 / 0854723,400,30,323212,0854723,32.53666666666666,-85.78972222222222
